#Release 13.4 - par O.87xd (lin64)
#Copyright (c) 1995-2011 Xilinx, Inc.  All rights reserved.

#Tue Mar 12 19:24:08 2013

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       system_map.ncd
#OUTPUT FILE:      system_pad.csv
#PART TYPE:        xc5vtx240t
#SPEED GRADE:      -2
#PACKAGE:          ff1759
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
AG12,,IOBM,IO_L0P_14,UNUSED,,14,,,,,,,,,
AG13,,IOBS,IO_L3N_30,UNUSED,,30,,,,,,,,,
AG14,,,RSVD,,,,,,,,,,,,
AG15,,,GND,,,,,,,,,,,,
AG16,,,TDI_0,,,,,,,,,,,,
AG17,,,GND,,,,,,,,,,,,
AG18,,,VCCINT,,,,,,,,1.0,,,,
AG19,,,GND,,,,,,,,,,,,
AG20,,,VCCINT,,,,,,,,1.0,,,,
AG21,,,GND,,,,,,,,,,,,
AG22,,,VCCINT,,,,,,,,1.0,,,,
AG23,,,GND,,,,,,,,,,,,
AG24,,,VCCINT,,,,,,,,1.0,,,,
AG25,,,GND,,,,,,,,,,,,
AG26,,,VCCINT,,,,,,,,1.0,,,,
AG27,,,GND,,,,,,,,,,,,
AG28,,,VCCAUX,,,,,,,,2.5,,,,
AG29,,,D_OUT_BUSY_0,,,,,,,,,,,,
AG30,,,VCCAUX,,,,,,,,2.5,,,,
AG31,,IOBS,IO_L1N_SM7N_13,UNUSED,,13,,,,,,,,,
AG32,,IOBM,IO_L1P_SM7P_13,UNUSED,,13,,,,,,,,,
AG33,,IOBS,IO_L3N_SM5N_13,UNUSED,,13,,,,,,,,,
AG34,,IOBM,IO_L3P_SM5P_13,UNUSED,,13,,,,,,,,,
AG35,,,GND,,,,,,,,,,,,
AG36,,IOBM,IO_L19P_13,UNUSED,,13,,,,,,,,,
AG37,,IOBS,IO_L19N_13,UNUSED,,13,,,,,,,,,
AG38,,IOBS,IO_L13N_13,UNUSED,,13,,,,,,,,,
AG39,,,GND,,,,,,,,,,,,
AG40,,,MGTAVTTTX_113,,,,,,,,,,,,
AG41,,OPAD,MGTTXP1_113,UNUSED,,,,,,,,,,,
AG42,,,GND,,,,,,,,,,,,
AH1,,,GND,,,,,,,,,,,,
AH2,pcie_top_0_pci_exp_2_txp_pin,OPAD,MGTTXP0_118,OUTPUT,,,,,,,,UNLOCATED,NO,NONE,
AH3,,,GND,,,,,,,,,,,,
AH4,,,GND,,,,,,,,,,,,
AH5,,IOBS,IO_L7N_14,UNUSED,,14,,,,,,,,,
AH6,,IOBS,IO_L9N_CC_14,UNUSED,,14,,,,,,,,,
AH7,,,VCCO_14,,,14,,,,,any******,,,,
AH8,,IOBS,IO_L10N_CC_14,UNUSED,,14,,,,,,,,,
